"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"509","BIOLOGY TIMES","KARENG/2015/63270","15-07-2015","English","Monthly","ESWAR REDDY ALLA","ESWAR REDDY ALLA","Karnataka","Bengaluru","View        registration details for BIOLOGY TIMES (KARENG/2015/63270)"
"510","BIRSA TIMES","38336","22-09-1980","Hindi","Weekly","SAROJ CHOUDHARY","SAROJ CHOUDHARY","Jharkhand","Ranchi","View        registration details for BIRSA TIMES (38336)"
"511","BIRSA TIMES","44375","16-10-1986","Hindi","Daily","SAROJ CHOUDHARY","SAROJ CHOUDHARY","Jharkhand","Ranchi","View        registration details for BIRSA TIMES (44375)"
"512","BIRSA TIMES","DELHIN/2013/53824","01-01-2014","Hindi","Weekly","SAROJ CHOUDHARY","SAROJ CHOUDHARY","Delhi","New Delhi","View        registration details for BIRSA TIMES (DELHIN/2013/53824)"
"513","BISMILLAH TIMES","UPHIN/2010/49850","22-05-2013","Hindi","Weekly","BISMILLA BEGUM","BISMILLA BEGUM","Uttar Pradesh","Etah","View        registration details for BISMILLAH TIMES (UPHIN/2010/49850)"
"514","BISWAN TIMES","UPHIN/2013/50254","11-06-2013","Hindi","Daily","SUNIL KUMAR","SUNIL KUMAR","Uttar Pradesh","Sitapur","View        registration details for BISWAN TIMES (UPHIN/2013/50254)"
"515","BISWAN TIMES","UPHIN/2016/67146","28-05-2016","Hindi","Fortnightly","SUNIL KUMAR","SUNIL KUMAR","Uttar Pradesh","Sitapur","View        registration details for BISWAN TIMES (UPHIN/2016/67146)"
"516","BITHOOR TIMES","UPHIN/2015/67480","10-06-2016","Hindi","Weekly","KALICHARAN DIXIT","KALICHARAN DIXIT","Uttar Pradesh","Kanpur Nagar","View        registration details for BITHOOR TIMES (UPHIN/2015/67480)"
"517","BIYANI TIMES","RAJBIL/2003/13325","01-09-2003","English, HINDI","Monthly","RAJEEV BIYANI","RAJEEV BIYANI","Rajasthan","Jaipur","View        registration details for BIYANI TIMES (RAJBIL/2003/13325)"
"518","Bizlex Times","CTBIL/25/A0706","30-05-2025","Hindi, English","Weekly","Dhiraj Mishra","SHRIPINGAKSHA TECHMENT PRIVATE LIMITED","Chhattisgarh","Durg","View        registration details for Bizlex Times (CTBIL/25/A0706)"
"519","BK TIMES","MAHBIL/2012/49643","10-05-2013","English, Marathi","Weekly","BHAGWAN NIVRUTTI ELMAME","BHAGWAN NIVRUTTI ELMAME","Maharashtra","Nashik","View        registration details for BK TIMES (MAHBIL/2012/49643)"
"520","BLUE GUARDS TIMES","MAHBIL/2009/28714","10-08-2009","Marathi, Hindi","Weekly","KAILASH K.SONI","KAILASH K. SONI","Maharashtra","Nagpur","View        registration details for BLUE GUARDS TIMES (MAHBIL/2009/28714)"
"521","BODHI TIMES","MAHMAR/2015/63033","02-07-2015","Marathi","Weekly","SHARDA MANGESH TAYADE","SHARDA MANGESH TAYADE","Maharashtra","Amravati","View        registration details for BODHI TIMES (MAHMAR/2015/63033)"
"522","BOHRA TIMES","MPHIN/2015/65401","30-12-2015","Hindi","Monthly","ANIL RAGHUWANSHI","ANIL RAGHUWANSHI","Madhya Pradesh","Indore","View        registration details for BOHRA TIMES (MPHIN/2015/65401)"
"523","BOMBAY SUPER TIMES","GJMUL/25/A1184","10-06-2025","Gujarati, English, Hindi","Weekly","PALKIN SURESHBHAI KACHA","BOMBAY SUPER PUBLICATION","Gujarat","Rajkot","View        registration details for BOMBAY SUPER TIMES (GJMUL/25/A1184)"
"524","BOMBAY TIMES","MAHENG/2000/02180","10-08-2000","English","Daily","R. KRISHNAMURTHY","BENNETT, COLEMAN & CO. LTD","Maharashtra","Mumbai","View        registration details for BOMBAY TIMES (MAHENG/2000/02180)"
"525","BOMMANAHALLI TIMES","KNKAN/26/A2013","25-03-2026","Kannada","Weekly","SANJEEVA SHREESHAIL PATIL","SANJEEVA SHREESHAIL PATIL","Karnataka","Bijapur","View        registration details for BOMMANAHALLI TIMES (KNKAN/26/A2013)"
"526","BOX OFFICE TIMES","PONMUL/2018/76124","24-09-2018","English, Tamil, Hindi","Monthly","DEVAKRISHNAN K.","DEVAKRISHNAN K","Puducherry","Puducherry","View        registration details for BOX OFFICE TIMES (PONMUL/2018/76124)"
"527","BPN TIMES","MPHIN/2008/26031","24-10-2008","Hindi","Daily","B.S.BAGHEL","B.S.BAGHEL","Madhya Pradesh","Gwalior","View        registration details for BPN TIMES (MPHIN/2008/26031)"
"528","BPN TIMES","CHHHIN/2011/43182","20-06-2012","Hindi","Daily","B. S. BAGHEL","B.S. BAGHEL","Chhattisgarh","Bilaspur","View        registration details for BPN TIMES (CHHHIN/2011/43182)"
"529","BPN TIMES","UPHIN/2009/35266","10-01-2011","Hindi","Daily","B.S. BAGHEL","B.S. BAGHEL","Uttar Pradesh","Jhansi","View        registration details for BPN TIMES (UPHIN/2009/35266)"
"530","BPN TIMES","MPHIN/2009/32722","22-06-2010","Hindi","Daily","B.S. BAGHEL","B.S.BAGHEL","Madhya Pradesh","Indore","View        registration details for BPN TIMES (MPHIN/2009/32722)"
"531","BPN TIMES","DELHIN/2009/30409","12-01-2010","Hindi","Daily","B.S. BAGHEL","B.S. BAGHEL","Delhi","New Delhi","View        registration details for BPN TIMES (DELHIN/2009/30409)"
"532","BPN TIMES","MPHIN/2010/35439","25-01-2011","Hindi","Daily","B.S.BAGHEL","B.S.BAGHEL","Madhya Pradesh","Bhopal","View        registration details for BPN TIMES (MPHIN/2010/35439)"
"533","BPN TIMES","CHHHIN/2010/35041","27-12-2010","Hindi","Daily","B.S.BAGHEL","B.S. BAGHEL","Chhattisgarh","Raipur","View        registration details for BPN TIMES (CHHHIN/2010/35041)"
"534","BPN TIMES","UPHIN/2010/39930","08-12-2011","Hindi","Daily","B. S. BAGHEL","B.S. BAGHEL","Uttar Pradesh","Agra","View        registration details for BPN TIMES (UPHIN/2010/39930)"
"535","BRAHMAN UTTHAN TIMES","UPHIN/2007/23176","27-02-2008","Hindi","Weekly","SWETA DIXIT","SWETA DIXIT","Uttar Pradesh","Lucknow","View        registration details for BRAHMAN UTTHAN TIMES (UPHIN/2007/23176)"
"536","BRAHMATMAJ TIMES","UPBIL/2023/88835","10-09-2024","BILINGUAL","Monthly","ASHISH TRIPATHI","ASHISH TRIPATHI","Uttar Pradesh","Shahjahanpur","View        registration details for BRAHMATMAJ TIMES (UPBIL/2023/88835)"
"537","BREAKING TIMES","UTTHIN/2012/49541","07-05-2013","Hindi","Weekly","MADAN LAL CHANDNA","MADAN LAL CHANDNA","Uttarakhand","Dehradun","View        registration details for BREAKING TIMES (UTTHIN/2012/49541)"
"538","BRIGHT SUN TIMES","UPHIN/26/A0350","14-01-2026","Hindi","Weekly","SYED ALI MENDI","SYED ALI MENDI","Uttar Pradesh","Ghaziabad","View        registration details for BRIGHT SUN TIMES (UPHIN/26/A0350)"
"539","Bright Times","UPENG/25/A3703","04-11-2025","English","Daily","Gaurav Srivastava","Gaurav Srivastava","Uttar Pradesh","Pratapgarh","View        registration details for Bright Times (UPENG/25/A3703)"
"540","BRIGHT TIMES","UPHIN/2022/83672","14-03-2023","Hindi","Daily","GAURAV SRIVASTAVA","GAURAV SRIVASTAVA","Uttar Pradesh","Pratapgarh","View        registration details for BRIGHT TIMES (UPHIN/2022/83672)"
"541","BRIGHT TIMES","UPHIN/2024/89877","25-10-2024","HINDI","Monthly","GAURAV SRVASTAVA","GAURAV SRIVASTAVA","Uttar Pradesh","Pratapgarh","View        registration details for BRIGHT TIMES (UPHIN/2024/89877)"
"542","BRIGHT TIMES","UPHIN/25/A2850","23-09-2025","Hindi","Weekly","Gaurav Srivastava","Gaurav Srivastava","Uttar Pradesh","Pratapgarh","View        registration details for BRIGHT TIMES (UPHIN/25/A2850)"
"543","BRIJ TIMES","UPENG/2003/11098","12-08-2003","English","Daily","AKSHAT AGARWAL","AKSHAT AGARWAL","Uttar Pradesh","Lucknow","View        registration details for BRIJ TIMES (UPENG/2003/11098)"
"544","BRIJ TIMES","UTTHIN/2009/28434","16-07-2009","Hindi","Daily","AKSHAT AGARWAL","AKSHAT AGARWAL","Uttarakhand","Nainital","View        registration details for BRIJ TIMES (UTTHIN/2009/28434)"
"545","BRIJ TIMES","UPHIN/2003/09482","22-03-2003","Hindi","Daily","AKSHAT AGGARWAL","AKSHAT AGRAWAL","Uttar Pradesh","Bareilly","View        registration details for BRIJ TIMES (UPHIN/2003/09482)"
"546","BRIJ TIMES","UPENG/2003/10384","01-05-2003","English","Daily","AKSHAT AGRAVAL","AKSHAT AGRAVAL","Uttar Pradesh","Bareilly","View        registration details for BRIJ TIMES (UPENG/2003/10384)"
"547","BRIJ TIMES","UPHIN/2003/11059","28-08-2003","Hindi","Daily","AKSHAT AGARWAL","AKSHAT AGARWAL","Uttar Pradesh","Moradabad","View        registration details for BRIJ TIMES (UPHIN/2003/11059)"
"548","BRIJ TIMES","UPHIN/2003/10397","03-07-2003","Hindi","Daily","AKSHAT AGRAVAL,DIR.","AKSHAT AGRAVAL","Uttar Pradesh","Pilibhit","View        registration details for BRIJ TIMES (UPHIN/2003/10397)"
"549","BRIJ TIMES","MPHIN/2009/35238","06-01-2011","Hindi","Daily","AKSHAT AGARWAL","AKSHAT AGARWAL","Madhya Pradesh","Gwalior","View        registration details for BRIJ TIMES (MPHIN/2009/35238)"
"550","BRILLIANT TIMES","UPHIN/2015/63644","06-08-2015","Hindi","Weekly","TAHIR HUSSAIN","TAHIR HUSSAIN","Uttar Pradesh","Fatehpur","View        registration details for BRILLIANT TIMES (UPHIN/2015/63644)"
"551","BUDDHA GLOBAL TIMES","UTTBIL/2021/85248","27-07-2023","English, HINDI","Weekly","PAUL JOHN","PAUL JOHN","Uttarakhand","Dehradun","View        registration details for BUDDHA GLOBAL TIMES (UTTBIL/2021/85248)"
"552","BUDGET TIMES","CHHHIN/2013/53857","02-01-2014","Hindi","Monthly","DINESH NAMDEV","DINESH NAMDEV","Chhattisgarh","Rajnandgaon","View        registration details for BUDGET TIMES (CHHHIN/2013/53857)"
"553","BUDHE BABA TIMES","UPHIN/2016/67371","03-06-2016","Hindi","Weekly","PUSHPA AWASTHI","PUSHPA AWASTHI","Uttar Pradesh","Lucknow","View        registration details for BUDHE BABA TIMES (UPHIN/2016/67371)"
"554","BUDHNI TIMES","MPHIN/2016/68984","18-10-2016","Hindi","Weekly","BHOJRAJ SINGH PANWAR","BHOJRAJ SINGH PANWAR","Madhya Pradesh","Bhopal","View        registration details for BUDHNI TIMES (MPHIN/2016/68984)"
"555","BULDHANA CITY TIMES","MAHBIL/2023/89294","04-10-2024","BILINGUAL","Weekly","SHAIKH YUSUF SHAIKH AKBAR","SHAIKH YUSUF SHAIKH AKBAR","Maharashtra","","View        registration details for BULDHANA CITY TIMES (MAHBIL/2023/89294)"
"556","BULLET NEWSTIMES","APTEL/25/A4371","27-11-2025","Telugu","Monthly","KAMMARA GURUPRASAD","KAMMARA GURUPRASAD","Andhra Pradesh","Ananthapur","View        registration details for BULLET NEWSTIMES (APTEL/25/A4371)"
"557","BURARI TIMES","DELHIN/2006/19123","11-04-2007","Hindi","Weekly","RAJANIKANT SAXENA","RAJANIKANT SAXENA","Delhi","New Delhi","View        registration details for BURARI TIMES (DELHIN/2006/19123)"
"558","BURHANPUR TIMES","38315","01-01-1983","Hindi","Weekly","KUMARI MALTI PRAJAPATI","KUMARI MALTI PRAJAPATI","Madhya Pradesh","Burhanpur","View        registration details for BURHANPUR TIMES (38315)"
"559","BURHANPUR TIMES","38285","04-07-1983","Hindi","Weekly","NA","NA","","","View        registration details for BURHANPUR TIMES (38285)"
"560","BURHANPUR TIMES","47459","13-04-1987","Urdu","Weekly","MALTI PRAJAPATI","MALTI PRAJAPATI","Madhya Pradesh","Burhanpur","View        registration details for BURHANPUR TIMES (47459)"
"561","BUSHRA TIMES","UPURD/2012/41412","28-03-2012","Urdu","Daily","MOHD. SIRAJ KHAN","MOHD. SIRAJ KHAN","Uttar Pradesh","Fatehpur","View        registration details for BUSHRA TIMES (UPURD/2012/41412)"
"562","BUSHRA TIMES","UPHIN/2010/33250","09-08-2010","Hindi","Daily","MOHD. SIRAJ KHAN","MOHD. SIRAJ KHAN","Uttar Pradesh","Fatehpur","View        registration details for BUSHRA TIMES (UPHIN/2010/33250)"
"563","BUSHRA TIMES","UPHIN/2009/31223","26-02-2010","Hindi","Weekly","MOHD. SIRAJ KHAN","MOHD. SIRAJ KHAN","Uttar Pradesh","Fatehpur","View        registration details for BUSHRA TIMES (UPHIN/2009/31223)"
"564","BUSINESS EVAM TAX TIMES","RAJHIN/2011/35877","22-02-2011","Hindi","Fortnightly","ARVIND MATHUR","ARVIND MATHUR","Rajasthan","Jaipur","View        registration details for BUSINESS EVAM TAX TIMES (RAJHIN/2011/35877)"
"565","BUSINESS TIMES","UPHIN/2014/58972","15-12-2014","Hindi","Monthly","MAYANK DUBEY","MAYANK DUBEY","Uttar Pradesh","Lucknow","View        registration details for BUSINESS TIMES (UPHIN/2014/58972)"
"566","BUSINESS TIMES","UPHIN/2003/11068","12-03-2003","Hindi","Weekly","MAYANK DUBEY","MAYANK DUBEY","Uttar Pradesh","Lucknow","View        registration details for BUSINESS TIMES (UPHIN/2003/11068)"
"567","BYAKUL TIMES","UPHIN/2009/30594","22-01-2010","Hindi","Daily","SAVITRI DEVI","SAVITRI DEVI","Uttar Pradesh","Azamgarh","View        registration details for BYAKUL TIMES (UPHIN/2009/30594)"
"568","C K G TIMES","DELHIN/2015/61991","20-05-2015","Hindi","Weekly","CHAKRESH KUMAR AGRAWAL","C.K.G. FOUNDATION","Delhi","New Delhi","View        registration details for C K G TIMES (DELHIN/2015/61991)"
"569","CACHAR TIMES","32769","09-10-1978","Bengali","Twice a week","BIJOY DEBNATH","BIJOY DEBNATH","Assam","Cachar","View        registration details for CACHAR TIMES (32769)"
"570","CALCUTTA TIMES OF INDIA","WBENG/2002/06563","06-12-2012","English","Daily","ARNAB CHATTERJEE","BENNETT, COLEMAN & CO.LTD","West Bengal","Kolkata","View        registration details for CALCUTTA TIMES OF INDIA (WBENG/2002/06563)"
"571","CALL OF TIMES","UPENG/2009/28594","03-08-2009","English","Daily","SYED AKHTARUL MULK","SYED AKHTARUL MULK","Uttar Pradesh","Lucknow","View        registration details for CALL OF TIMES (UPENG/2009/28594)"
"572","CANON TIMES","CTBIL/25/A0068","29-03-2025","English, HINDI","Daily","ABHISHEK VERMA","ABHISHEK VERMA","Chhattisgarh","Bilaspur","View        registration details for CANON TIMES (CTBIL/25/A0068)"
"573","CANON TIMES","MPBIL/2009/46227","06-11-2012","BILINGUAL","Daily","ABHISHEK VERMA","ABHISHEK VERMA","Madhya Pradesh","Bhopal","View        registration details for CANON TIMES (MPBIL/2009/46227)"
"574","CANON TIMES","MPBIL/2004/17490","25-10-2006","BILINGUAL","Weekly","ABHISHEK VERMA","ABHISHEK VERMA","Madhya Pradesh","Bhopal","View        registration details for CANON TIMES (MPBIL/2004/17490)"
"575","CANTT TIMES","UPURD/2015/64196","10-10-2015","Urdu","Weekly","NADEEM AHMAD ANSARI","NADEEM AHMAD ANSARI","Uttar Pradesh","Kanpur Nagar","View        registration details for CANTT TIMES (UPURD/2015/64196)"
"576","CAPITAL TIMES","GUJGUJ/2015/62823","22-06-2015","Gujarati","Weekly","VIMAL KUMAR V. PATEL","VIMAL KUMAR V. PATEL","Gujarat","Gandhinagar","View        registration details for CAPITAL TIMES (GUJGUJ/2015/62823)"
"577","CAPITAL TIMES","GUJGUJ/2015/66183","12-02-2016","Gujarati","Daily","VIMALKUMAR V. PATEL","VIMAL KUMAR V. PATEL","Gujarat","Gandhinagar","View        registration details for CAPITAL TIMES (GUJGUJ/2015/66183)"
"578","CAPITAL TIMES","GUJGUJ/2015/66186","12-02-2016","Gujarati","Fortnightly","VIMALKUMAR V. PATEL","VIMAL KUMAR V. PATEL","Gujarat","Gandhinagar","View        registration details for CAPITAL TIMES (GUJGUJ/2015/66186)"
"579","CAPTAIN TIMES","58360","06-03-1993","Hindi","Weekly","CAPTAIN ALI","ANISA","Uttar Pradesh","Uttar Pradesh","View        registration details for CAPTAIN TIMES (58360)"
"580","CAPTURE TIMES","UPHIN/2015/74860","21-02-2018","Hindi","Weekly","MOHD.ASHIF","MOHD.ASHIF","Uttar Pradesh","Hardoi","View        registration details for CAPTURE TIMES (UPHIN/2015/74860)"
"581","CARE TIMES","UPHIN/2017/75113","08-05-2018","Hindi","Monthly","VINOD KUMAR YADAV","VINOD KUMAR YADAV","Uttar Pradesh","Lucknow","View        registration details for CARE TIMES (UPHIN/2017/75113)"
"582","CARE TIMES","UPHIN/2016/67184","30-05-2016","Hindi","Daily","VINOD KUMAR YADAV","VINOD KUMAR YADAV","Uttar Pradesh","Lucknow","View        registration details for CARE TIMES (UPHIN/2016/67184)"
"583","CAREER & COMPETITION TIMES","39227","29-08-1981","English","Monthly","RICHA JAIN","BENNETT, COLEMAN & CO.LTD","Delhi","New Delhi","View        registration details for CAREER & COMPETITION TIMES (39227)"
"584","CAREER & COMPETITION TIMES","58963","01-02-1994","English","Weekly","MANOJ KUMAR DAS","BENNETT, COLEMAN & CO.LTD","Bihar","Patna","View        registration details for CAREER & COMPETITION TIMES (58963)"
"585","CARWA TIMES","MPBIL/2016/71051","29-03-2017","English, HINDI","Weekly","SANDEEP VERMA","SANDEEP VERMA","Madhya Pradesh","Bhopal","View        registration details for CARWA TIMES (MPBIL/2016/71051)"
"586","CAUVERY TIMES","KARKAN/2016/75059","12-03-2018","Kannada","Daily","BOLLAJIRA AIYAPPA","BOLLAJIRA AIYAPPA","Karnataka","Kodagu","View        registration details for CAUVERY TIMES (KARKAN/2016/75059)"
"587","CENSOR TIMES","MPHIN/2003/12782","22-09-2004","Hindi","Monthly","RAVIKUMAR PODDAR","RAVIKUMAR PODDAR","Madhya Pradesh","Indore","View        registration details for CENSOR TIMES (MPHIN/2003/12782)"
"588","CENTAX LAW TIMES","DELENG/2021/81052","15-07-2023","English","Monthly","ANSH BHARGAVA","CENTAX LAW PUBLICATIONS PRIVATE LIMITED","Delhi","New Delhi","View        registration details for CENTAX LAW TIMES (DELENG/2021/81052)"
"589","CENTURY TIMES","68803","10-12-1997","Hindi","Weekly","SANJAY DUBEY","SANJAY DUBEY","Madhya Pradesh","Bhopal","View        registration details for CENTURY TIMES (68803)"
"590","CHAITANYA TIMES","MPHIN/2021/86267","05-02-2024","Hindi","Weekly","CHETAN RATHOD","CHETAN RATHOD","Madhya Pradesh","Dewas","View        registration details for CHAITANYA TIMES (MPHIN/2021/86267)"
"591","CHAK DE TIMES","UPHIN/2011/37573","26-05-2011","Hindi","Weekly","SAJID ALI KHAN","SAJID ALI KHAN","Uttar Pradesh","Lucknow","View        registration details for CHAK DE TIMES (UPHIN/2011/37573)"
"592","CHAK DE TIMES","UPURD/2013/50083","30-05-2013","Urdu","Daily","SAJID ALI KHAN","SAJID ALI KHAN","Uttar Pradesh","Lucknow","View        registration details for CHAK DE TIMES (UPURD/2013/50083)"
"593","CHAK DE TIMES","UPURD/2011/41999","04-05-2012","Urdu","Weekly","SAJID ALI KHAN","SAJID ALI KHAN","Uttar Pradesh","Lucknow","View        registration details for CHAK DE TIMES (UPURD/2011/41999)"
"594","CHAKPAK TIMES","MPHIN/2016/68118","29-07-2016","Hindi","Weekly","JYOTI CHANDEL","JYOTI CHANDEL","Madhya Pradesh","Bhopal","View        registration details for CHAKPAK TIMES (MPHIN/2016/68118)"
"595","CHAKRADHARI TIMES","UPHIN/2009/28991","16-09-2009","Hindi","Weekly","SADABRICSH B.BHARTI","SADA BRICSH B.BHARTI","Uttar Pradesh","Uttar Pradesh","View        registration details for CHAKRADHARI TIMES (UPHIN/2009/28991)"
"596","CHAKRAVAT TIMES","MPHIN/2016/67983","25-07-2016","Hindi","Monthly","PANNALAL NAYAK","PANNALAL NAYAK","Madhya Pradesh","Bhopal","View        registration details for CHAKRAVAT TIMES (MPHIN/2016/67983)"
"597","CHALAK TIMES","MAHHIN/2012/44630","09-08-2012","Hindi","Monthly","SHASHIKANT TUKARAM KAWALE","SHASHIKANT TUKARAM KAWALE","Maharashtra","Mumbai","View        registration details for CHALAK TIMES (MAHHIN/2012/44630)"
"598","CHALLENGE NEWS TIMES","CHHHIN/1996/03312","11-05-2000","Hindi","Weekly","MANMOHAN SHARMA","MANMOHAN SHARMA","Chhattisgarh","Rajnandgaon","View        registration details for CHALLENGE NEWS TIMES (CHHHIN/1996/03312)"
"599","CHAMARAJA NAGAR TIMES","KNKAN/25/A1044","04-06-2025","Kannada","Daily","REKHA E","REKHA E","Karnataka","Chamarajanagar","View        registration details for CHAMARAJA NAGAR TIMES (KNKAN/25/A1044)"
"600","CHAMATKAR TIMES","UTTHIN/2024/90945","18-06-2025","Hindi","Fortnightly","POONAM AGRAWAL","POONAM AGRAWAL","Uttarakhand","Dehradun","View        registration details for CHAMATKAR TIMES (UTTHIN/2024/90945)"
"601","CHAMATKAR TIMES","UTTHIN/2011/40617","31-01-2012","Hindi","Weekly","POONAM AGRAWAL","POONAM AGRAWAL","Uttarakhand","Dehradun","View        registration details for CHAMATKAR TIMES (UTTHIN/2011/40617)"
"602","CHAMBAL TIMES","UPBIL/26/A1801","20-03-2026","English, Hindi","Daily","Dhruv","Dhruv","Uttar Pradesh","Agra","View        registration details for CHAMBAL TIMES (UPBIL/26/A1801)"
"603","CHAMOLI TIMES","UTTHIN/2011/39066","30-09-2011","Hindi","Weekly","HARENDRA PRASAD","HARENDRA PRASAD","Uttarakhand","Dehradun","View        registration details for CHAMOLI TIMES (UTTHIN/2011/39066)"
"604","CHAMOLI TIMES","UTTHIN/2015/67076","24-05-2016","Hindi","Weekly","HARENDRA PRASAD","HARENDRA PRASAD","Uttarakhand","Dehradun","View        registration details for CHAMOLI TIMES (UTTHIN/2015/67076)"
"605","CHANAKYA TIMES","MAHMAR/2011/41576","11-04-2012","Marathi","Weekly","DHANANJAY DAGADU WAGHMODE","DHANANJAY DAGADU WAGHMODE","Maharashtra","Solapur","View        registration details for CHANAKYA TIMES (MAHMAR/2011/41576)"
"606","CHANAKYA TIMES","ODIODI/2023/87947","22-07-2024","","Monthly","RAJESH KUMAR DAS","RAJESH KUMAR DAS","Odisha","","View        registration details for CHANAKYA TIMES (ODIODI/2023/87947)"
"607","CHANDA TIMES","MAHMAR/2011/40986","02-03-2012","Marathi","Weekly","KU. SANDHYA NARAYAN MESHRAM","KU. SANDHYA NARAYAN MESHRAM","Maharashtra","Chandrapur","View        registration details for CHANDA TIMES (MAHMAR/2011/40986)"
"608","CHANDGAD TIMES","MAHMAR/2010/34110","26-10-2010","Marathi","Weekly","SANTOSH VASANTRAO SAWANT BHOSALE","SANTOSH VASANTRAO SAWANT BHOSALE","Maharashtra","Kolhapur","View        registration details for CHANDGAD TIMES (MAHMAR/2010/34110)"
"609","CHANDIGARH TIMES OF INDIA","CHAENG/2018/76344","02-11-2018","English","Daily","VIKAS BHARDWAJ","BENNETT COLEMAN AND CO LTD","Chandigarh","Chandigarh","View        registration details for CHANDIGARH TIMES OF INDIA (CHAENG/2018/76344)"
"610","CHANDIKA TIMES","MAHHIN/2012/45653","10-10-2012","Hindi","Weekly","DIPAK VISHWANATH GADVE","DIPAK VISHWANATH GADVE","Maharashtra","Amravati","View        registration details for CHANDIKA TIMES (MAHHIN/2012/45653)"
"611","CHANDRA JYOTI LOK VANI TIMES","DELHIN/2000/00437","03-02-2000","Hindi","Daily","RAM SAKAL TIWARI","CHANDRA JYOTI PRAKASHAN PVT LTD.","Delhi","New Delhi","View        registration details for CHANDRA JYOTI LOK VANI TIMES (DELHIN/2000/00437)"
"612","CHANDRAHAR TIMES","UPHIN/2012/48823","22-03-2013","Hindi","Daily","RAJESH MISHRA","RAJESH MISHRA","Uttar Pradesh","Gautam Buddha Nagar","View        registration details for CHANDRAHAR TIMES (UPHIN/2012/48823)"
"613","CHANDRVATI TIMES","RAJHIN/2016/75343","24-05-2018","Hindi","Fortnightly","ABHISHEK SHARMA","ABHISHEK SHARMA","Rajasthan","Jhalawar","View        registration details for CHANDRVATI TIMES (RAJHIN/2016/75343)"
"614","CHANDUR TIMES","MAHBIL/2023/89490","14-10-2024","BILINGUAL","Weekly","SHAHAJAD YUSUF KHAN","SHAHAJAD YUSUF KHAN","Maharashtra","Amravati","View        registration details for CHANDUR TIMES (MAHBIL/2023/89490)"
"615","CHANNAPATNA TIMES","KARKAN/2020/79093","17-11-2020","Kannada","Weekly","L. VARADARAJU","L VARADARAJU","Karnataka","Ramanagara","View        registration details for CHANNAPATNA TIMES (KARKAN/2020/79093)"
"616","CHARANIYA TIMES","GUJGUJ/2015/72571","07-07-2017","Gujarati","Monthly","CHAUHAN PRAVINBHAI HAKABHAI","CHAUHAN PRAVINBHAI HAKABHAI","Gujarat","Rajkot","View        registration details for CHARANIYA TIMES (GUJGUJ/2015/72571)"
"617","CHARBHUJA TIMES","MAHHIN/2014/57679","10-10-2014","Hindi","Daily","HARI PRAKASH RAMDAYAL NEHARIA","HARI PRAKASH RAMDAYAL NEHARIA","Maharashtra","Palghar","View        registration details for CHARBHUJA TIMES (MAHHIN/2014/57679)"
"618","CHARCHA PARICHARCHA TIMES","63057","05-08-1995","Hindi","Weekly","R.D. BAJPAI","R.D. BAJPAI","Uttar Pradesh","Lucknow","View        registration details for CHARCHA PARICHARCHA TIMES (63057)"
"619","CHARCHA TIMES","UPHIN/2006/25074","05-08-2008","Hindi","Weekly","D.K.GAUTAM","D.K.GAUTAM","Uttar Pradesh","Ghaziabad","View        registration details for CHARCHA TIMES (UPHIN/2006/25074)"
"620","CHARDHAM TIMES","UTTHIN/2022/85060","22-06-2023","Hindi","Daily","POONAM SINGH","POONAM SINGH","Uttarakhand","Dehradun","View        registration details for CHARDHAM TIMES (UTTHIN/2022/85060)"
"621","CHARDHAM TIMES","UTTHIN/2011/37507","25-05-2011","Hindi","Weekly","POONAM SINGH","POONAM SINGH","Uttarakhand","Dehradun","View        registration details for CHARDHAM TIMES (UTTHIN/2011/37507)"
"622","CHARHDIKALA BUSINESS TIMES","70628","04-03-1999","English","Daily","JAGJIT SINGH DARDI","CHARHDIKALA PRINTING PRESS PVT. LTD.","Punjab","Patiala","View        registration details for CHARHDIKALA BUSINESS TIMES (70628)"
"623","CHARHDIKALA BUSINESS TIMES","62078","27-07-1995","English","Daily","MAN MOHAN SINGH","CHARHDIKALA PRINTING PRESS PVT. LTD.","Delhi","New Delhi","View        registration details for CHARHDIKALA BUSINESS TIMES (62078)"
"624","CHARLIE TIMES","KARKAN/2016/66733","18-04-2016","Kannada","Weekly","V. RAVI KUMAR","V.RAVI KUMAR","Karnataka","Bengaluru","View        registration details for CHARLIE TIMES (KARKAN/2016/66733)"
"625","CHARMINAR DIGITAL TIMES","TELENG/2016/69506","01-12-2016","English","Daily","MIR ASHFAQ ALI","MIR ASHFAQ ALI","Telangana","Hyderabad","View        registration details for CHARMINAR DIGITAL TIMES (TELENG/2016/69506)"
"626","CHARMINAR TIMES","APURD/2010/37262","12-05-2011","Urdu","Daily","MD SHUJA UDDIN IFTEQARI","MD. SHUJA UDDIN IFTEQARI","Andhra Pradesh","Hyderabad","View        registration details for CHARMINAR TIMES (APURD/2010/37262)"
"627","CHATURDISHA TIMES","DELBIL/2008/26899","21-01-2009","English, HINDI","Fortnightly","VIMAL VERMA","VIMAL VERMA","Delhi","New Delhi","View        registration details for CHATURDISHA TIMES (DELBIL/2008/26899)"
"628","CHAUDHRY TIMES","UTTHIN/2011/37505","25-05-2011","Hindi","Fortnightly","MOHD. MUSTAKEEM","MOHD. MUSTAKEEM","Uttarakhand","Udham Singh Nagar","View        registration details for CHAUDHRY TIMES (UTTHIN/2011/37505)"
